position	token	attention_ms	ffn_provider_ms	reentry_ms	other_ms	total_ms	request_bytes	encode_us	roundtrip_ms	remote_ffn_ms	response_bytes	decode_us	worker_encode_us	transport_remainder_ms
27	3217	18.970042	66.168418	0.588873	6.188376	91.915709	2473249	4300.043	57.081707	35.206669	2538976	4146.791	3668.713	7.898621
28	506	19.016752	64.713001	0.576039	6.197208	90.503	2477856	4324.751	55.441289	33.714709	2539504	4130.872	3718.709	7.858913
29	7217	18.947959	65.078667	0.567666	6.158042	90.752334	2470956	4316.377	55.846416	33.660498	2534083	4193.749	3701.128	8.201835
30	7412	19.189913	66.126375	0.588921	6.141666	92.046875	2472773	4321.999	56.58979	34.827583	2535577	4133.918	3663.542	7.943619
31	3730	18.990748	65.547957	0.593795	6.117084	91.249584	2472145	4390.956	56.122754	34.613333	2535228	4114.082	3601.042	7.751418
32	236764	19.313585	65.274122	0.557793	6.139584	91.285084	2481809	4334.206	56.001333	34.339165	2541833	4110.749	3685.546	7.85658
33	2918	19.239584	64.679287	0.592712	6.112501	90.624084	2471045	4388.165	55.377665	33.474041	2532844	4130.499	3703.542	7.937792
34	684	19.249712	66.604668	0.526328	6.22925	92.609958	2471731	4371.288	57.294665	35.504459	2533306	4226.415	3675.623	7.827126
35	2918	19.20617	64.838583	0.559372	6.26575	90.869875	2475826	4275.332	55.761538	33.96092	2539079	4112.288	3684.545	7.81308
36	236761	19.459087	65.826874	0.587789	6.16675	92.0405	2482960	4374.668	56.584959	34.65875	2541909	4145.119	3673.46	7.94854
37	1030	19.382376	66.93217	0.559079	6.386833	93.260458	2477077	4474.668	57.624626	35.700128	2538367	4165.21	3783.999	7.830583
38	236789	19.627043	66.626001	0.561706	6.197208	93.011958	2475209	4551.75	57.197999	34.550961	2530536	4195.835	3687.375	8.218246
39	236751	19.443377	66.83625	0.572206	6.224459	93.076292	2476042	4417.71	57.596167	34.955667	2538363	4150.083	3690.586	8.532169
40	496	19.750543	67.237169	0.573163	6.166542	93.727417	2479239	4367.75	58.002041	35.385254	2541303	4223.917	3709.001	8.346748
41	27858	19.592666	65.044374	0.613502	6.094833	91.345375	2476164	4391.582	55.746248	33.857207	2538423	4145.125	3671.831	7.904166
42	20284	19.602958	65.828875	0.589167	6.228042	92.249042	2474845	4399.959	56.487163	34.237002	2538022	4163.46	3694.001	8.093203
43	49035	19.736077	67.225086	0.581629	6.187541	93.730333	2474143	4418.12	57.633792	34.205542	2537145	4222.664	3693.752	8.136042
44	528	19.830458	67.316124	0.569043	6.103833	93.819458	2478081	4391.458	57.864835	34.410121	2539426	4310.916	3673.874	8.413584
45	16505	19.865501	66.653248	0.636376	6.117833	93.272958	2475156	4437.541	57.342875	34.628249	2539931	4186.831	3684.543	7.717749
46	236888	20.244293	66.670711	0.555496	6.492125	93.962625	2477072	4438.666	57.319418	34.383874	2539465	4182.752	3661.086	7.840248
47	108	21.011959	69.503458	0.575125	6.141583	97.232125	2472738	4485.919	60.157874	37.724376	2531408	4194.377	3734.045	7.407667
48	1018	20.778706	69.842001	0.567543	6.304541	97.492791	2475445	4419.58	60.609918	37.292165	2537827	4117.669	3786.128	8.251709
49	236770	20.223003	66.276042	0.566747	6.108792	93.174584	2471613	4428.706	56.916206	33.17804	2530694	4167.915	3673.334	8.304876
50	236761	20.165541	66.076833	0.575001	6.113666	92.931041	2478449	4397.041	56.750543	33.454248	2538001	4208.577	3718.377	8.063667
51	146430	20.447461	66.657042	0.539872	6.185958	93.830333	2470845	4381.084	57.437162	34.649499	2534024	4150.498	3673.082	7.889995
52	236787	20.582457	68.296911	0.591798	6.164	95.635166	2477444	4549.747	58.617794	35.304501	2539354	4256.624	3796.373	8.157422
53	1030	20.509414	67.295079	0.58159	6.207167	94.59325	2472949	4453.999	57.87517	34.51762	2535011	4171.505	3794.792	8.22384
54	236789	20.848499	67.692545	0.589122	6.114459	95.244625	2475496	4476.625	58.243127	35.44275	2530428	4200.001	3770.328	7.902711
55	236751	20.706042	67.896749	0.567918	6.213457	95.384166	2473025	4356.374	58.721543	36.40779	2535965	4157.336	3708.25	7.547083
56	3790	20.803375	67.868538	0.590129	6.250708	95.51275	2473513	4380.915	58.445625	35.433537	2536910	4232.164	3705.666	7.626331
57	5393	20.605997	69.078209	0.596836	6.278375	96.559417	2470513	4469.416	59.631914	36.072294	2534323	4238.876	3730.374	7.897206
58	7286	21.218042	67.779748	0.584335	6.214375	95.7965	2470445	4579.669	58.253545	34.089625	2534894	4231.712	3803.208	8.631964
59	1018	20.878251	65.298293	0.58404	6.135457	92.896041	2473923	4438.293	55.838377	33.086459	2537112	4256.584	3685.548	7.715422
60	108	21.09679	66.638457	0.601336	6.16675	94.503333	2479012	4510.663	57.010874	34.236707	2538849	4179.917	3767.997	8.07625
61	236829	20.857622	65.695374	0.550837	6.142	93.245833	2475802	4363.001	56.317462	33.823375	2536391	4287.542	3721.333	7.892379
62	5213	20.866209	66.640253	0.572163	6.170292	94.248917	2475445	4351.999	57.396211	35.217625	2539127	4207.505	3642.415	8.028003
63	7131	20.921	65.724332	0.583251	6.224042	93.452625	2468333	4422.33	56.316501	34.604207	2531679	4199.166	3688.171	7.774582
64	10847	21.178376	68.262707	0.560542	6.104458	96.106083	2470188	4432.546	58.834667	35.994335	2533773	4198.544	3741.586	8.70279
65	53121	21.626413	66.098002	0.614585	9.997917	98.336917	2475910	4448.044	56.665083	34.686667	2538258	4240.463	3655.247	7.982833
