position	token	attention_ms	ffn_provider_ms	reentry_ms	other_ms	total_ms	request_bytes	encode_us	roundtrip_ms	remote_ffn_ms	response_bytes	decode_us	worker_encode_us	transport_remainder_ms
27	11	9.451082	28.125751	0.083458	1.486001	39.146292	1317431	1943.623	23.730915	11.031297	1322256	2003.585	1482.791	4.667915
28	2670	9.360832	28.932123	0.082545	1.536083	39.911583	1316918	1968.039	24.612585	11.254623	1322767	1953.042	1500.123	5.169294
29	1246	9.398793	28.297332	0.083375	1.49575	39.27525	1316559	1973.126	23.908167	11.114457	1321567	2015.415	1446.58	4.803294
30	39020	9.349252	27.902332	0.080832	1.524251	38.856667	1315425	1949.5	23.553999	10.978129	1319890	2001.583	1442.664	4.520497
31	83161	9.335336	28.680914	0.079625	1.503458	39.599333	1316141	1986.711	24.332789	11.039335	1321296	1966.997	1479.375	5.163873
32	448	9.503206	28.503042	0.081044	1.556583	39.643875	1316157	1971.04	24.211002	11.025376	1320582	1853.751	1449.043	5.250254
33	279	9.477712	28.426248	0.093582	1.494083	39.491625	1317337	2042.709	23.930083	10.963584	1321800	1981.376	1442.079	5.160833
34	16566	9.582627	28.081209	0.083956	1.501374	39.249166	1316885	1988.999	23.693667	11.064293	1322397	1998.706	1471.167	4.738753
35	13	9.576129	28.186125	0.080037	1.602376	39.444667	1318157	1991.0	23.79846	11.062834	1322558	1958.168	1449.831	4.542915
36	22406	9.574457	28.025667	0.083709	1.497917	39.18175	1316216	1961.335	23.631877	10.933501	1321445	2033.626	1475.872	4.484335
37	11	9.59221	28.700125	0.081415	1.484709	39.858459	1318232	1991.584	24.268127	11.109542	1323004	1939.625	1475.291	5.241709
38	10339	9.761459	28.067958	0.079708	1.508417	39.417542	1317343	1992.499	23.661665	11.045622	1322375	2004.71	1457.0	4.718333
39	3170	9.566	27.713377	0.079414	1.499459	38.85825	1316301	1952.25	23.264997	11.092001	1320176	2017.919	1464.542	4.482789
40	279	9.746293	28.095291	0.079624	1.508876	39.430084	1316476	1949.999	23.756832	11.065959	1321518	1990.416	1473.711	4.419293
41	12884	9.889626	27.850869	0.080463	1.494375	39.315333	1315850	2013.75	23.392545	10.973666	1320488	2040.249	1442.917	4.608752
42	374	9.888625	28.240209	0.08725	1.499333	39.715417	1317185	2006.503	23.740876	11.164165	1321944	2077.791	1446.499	4.716872
43	6303	9.772083	27.807918	0.078165	1.586626	39.244792	1316455	1965.831	23.443087	10.965833	1321586	1967.334	1484.708	4.459755
44	11	9.8885	28.05896	0.080748	1.493417	39.521625	1317777	1992.417	23.665209	11.074832	1322760	2002.166	1476.789	4.452626
45	2670	10.067627	28.801456	0.0805	1.4995	40.449083	1317051	1990.21	24.35496	11.127585	1322633	2054.665	1470.04	4.987463
46	1246	10.18179	28.322124	0.079336	1.462292	40.045542	1316433	1961.291	23.983124	11.026417	1321706	1983.709	1467.669	4.876459
47	39020	9.975543	28.165791	0.077875	1.482083	39.701292	1315819	1977.333	23.859039	10.990253	1320865	1925.211	1417.875	5.329997
48	83161	10.164875	28.504208	0.080375	1.500709	40.250167	1316066	2009.665	24.172165	11.138627	1321382	1926.292	1475.958	5.199039
49	448	10.013335	28.338413	0.083336	1.596708	40.031792	1316685	1989.456	23.892502	10.891874	1321429	1997.833	1487.958	4.948999
50	279	10.112998	28.145081	0.080838	1.494166	39.833083	1317877	1966.997	23.720874	11.116207	1322734	2040.751	1461.457	4.631331
51	16566	10.433252	29.033167	0.088456	1.51325	41.068125	1317511	2057.375	24.462164	11.06046	1323516	2048.212	1498.457	5.384792
52	13	10.335083	28.158166	0.083585	1.5075	40.084334	1318023	2005.083	23.728872	11.036793	1322673	2023.916	1467.331	4.596205
53	22406	10.294545	28.582125	0.080372	1.501583	40.458625	1315798	1948.625	24.229916	11.225666	1321710	2014.04	1482.333	4.580376
54	11	10.350874	28.221584	0.078958	1.507	40.158416	1317699	1951.381	23.86329	11.253165	1322835	2007.042	1460.539	4.557119
55	10339	10.364918	28.577166	0.084624	1.53375	40.560458	1317399	2003.545	24.06221	11.218457	1322898	2101.665	1439.376	4.608627
56	3170	10.404628	28.705539	0.081375	1.514458	40.706	1316260	1971.292	24.277752	11.334541	1321522	2042.706	1470.998	4.605293
57	279	10.322415	27.658918	0.083208	1.534917	39.599458	1316981	1956.623	23.322627	11.009377	1322484	1985.752	1443.706	4.477006
58	12884	10.491793	28.023291	0.082749	1.485542	40.083375	1316448	2016.416	23.486582	10.984414	1321314	2058.081	1472.71	4.394998
59	374	10.606829	28.521209	0.078753	1.475084	40.681875	1317495	1969.5	24.196202	11.306002	1322367	1960.126	1442.703	5.043867
60	6303	10.736583	28.603167	0.082084	1.499624	40.921458	1316769	2001.291	24.190082	11.178122	1322628	2001.167	1463.622	4.957083
61	11	10.628791	29.005962	0.082872	1.497708	41.215333	1317780	2027.124	24.603374	11.114751	1323523	1954.043	1507.333	5.356039
62	2670	10.788581	28.645082	0.081503	1.495417	41.010583	1317349	2034.209	24.254331	11.164206	1323193	1951.629	1489.998	5.21604
63	1246	10.629958	29.167126	0.078541	1.497958	41.373583	1316445	1972.04	24.817585	10.984709	1321847	1981.168	1475.498	5.497873
64	39020	10.679207	28.763458	0.084335	1.511459	41.038459	1315951	2052.416	24.319458	11.003877	1321357	1980.708	1478.791	5.278206
65	83161	10.792046	28.245167	0.082662	1.510208	40.630083	1316409	1977.709	23.928834	11.171292	1321712	1944.336	1456.045	4.824749
