position	token	attention_ms	ffn_provider_ms	reentry_ms	other_ms	total_ms	request_bytes	encode_us	roundtrip_ms	remote_ffn_ms	response_bytes	decode_us	worker_encode_us	transport_remainder_ms
27	3217	19.204916	42.778917	0.627167	6.552625	69.163625	349384	79.042	42.389958	35.58729	349384	52.5	122.665	5.779711
28	506	19.753955	42.631832	0.686754	6.188376	69.260917	349384	83.83	42.254333	34.274001	349384	47.997	138.208	6.847622
29	7217	19.291045	42.232542	0.671997	6.158416	68.354	349384	95.917	41.804455	34.637753	349384	54.876	133.581	6.083666
30	7412	18.9035	41.230582	0.650543	6.525209	67.309834	349384	81.919	40.857914	34.044204	349384	50.501	126.874	5.779374
31	3730	19.308665	42.860165	0.628337	6.5075	69.304667	349384	96.96	42.458749	35.4115	349384	53.833	136.122	5.995249
32	236764	19.445835	41.505792	0.662081	6.756708	68.370416	349384	70.375	41.148081	34.350083	349384	53.084	130.203	5.732998
33	2918	19.468625	42.946454	0.684296	6.273292	69.372667	349384	86.29	42.548791	35.474003	349384	58.083	126.712	6.01762
34	684	19.531669	41.725626	0.737788	6.208792	68.203875	349384	76.373	41.3145	33.989042	349384	56.126	132.624	6.186416
35	2918	19.103917	43.788083	0.647541	6.333792	69.873333	349384	89.168	43.386962	36.440834	349384	49.042	127.876	5.891335
36	236761	19.624541	42.736667	0.635708	6.459084	69.456	349384	91.543	42.337626	35.330962	349384	49.249	128.585	5.885917
37	1030	19.582332	41.80675	0.683501	6.701625	68.774208	349384	74.664	41.418585	34.504542	349384	51.001	129.999	5.811879
38	236789	19.731126	42.457417	0.636623	6.801209	69.626375	349384	73.828	42.072002	34.790416	349384	58.167	119.502	6.274958
39	236751	19.685456	41.914208	0.640669	6.19575	68.436083	349384	70.874	41.519461	34.566417	349384	62.0	127.875	5.899168
40	496	19.874957	42.398918	0.641417	6.841666	69.756958	349384	92.418	42.007204	35.338623	349384	47.836	129.919	5.671284
41	27858	20.381414	42.085421	0.628498	6.841584	69.936917	349384	90.04	41.653044	34.373333	349384	64.585	136.545	6.19388
42	20284	20.29108	43.089168	0.673877	6.643458	70.697583	349384	80.75	42.691417	35.714708	349384	55.666	132.251	5.888963
43	49035	19.784709	41.994043	0.637039	6.628334	69.044125	349384	76.168	41.598996	34.18271	349384	61.291	127.414	6.295203
44	528	20.130334	42.944375	0.644582	7.032001	70.751292	349384	91.624	42.530539	35.274714	349384	55.081	129.498	6.165748
45	16505	20.219001	42.928046	0.657912	6.193791	69.99875	349384	117.165	42.509541	34.79483	349384	51.251	128.252	6.6405
46	236888	20.17375	41.924794	0.700414	6.202	69.000958	349384	82.706	41.539081	34.386543	349384	48.373	129.251	6.144496
47	108	20.225296	43.159665	0.710247	6.830876	70.926084	349384	86.705	42.778876	35.843458	349384	48.21	129.13	5.902046
48	1018	20.27121	42.447748	0.605542	6.951667	70.276167	349384	83.919	42.053538	34.84979	349384	58.793	124.001	6.149078
49	236770	21.709045	47.788999	0.623664	8.171959	78.293667	349384	87.914	47.388583	40.477207	349384	54.749	134.377	5.756749
50	236761	20.436582	42.231582	0.661878	6.423083	69.753125	349384	80.169	41.860541	34.876209	349384	45.957	122.083	5.972413
51	146430	20.598288	42.085418	0.640544	6.731583	70.055833	349384	89.292	41.648002	34.434502	349384	70.458	134.583	6.112791
52	236787	20.394542	41.879371	0.649712	7.240125	70.16375	349384	91.166	41.468206	34.092419	349384	56.917	120.584	6.290457
53	1030	20.471461	43.075249	0.660582	6.4875	70.694792	349384	82.206	42.69446	34.891462	349384	52.044	113.333	6.76104
54	236789	20.552666	43.940542	0.721208	8.602084	73.8165	349384	84.707	43.556753	35.751999	349384	50.252	125.079	6.69029
55	236751	20.886791	42.336916	0.605918	6.155375	69.985	349384	86.249	41.465584	33.66542	349384	58.125	126.041	6.70029
56	3790	20.894746	41.565045	0.606125	6.750209	69.816125	349384	93.54	41.173667	34.088413	349384	57.127	106.501	6.041124
57	5393	21.280375	43.069833	0.602959	7.302791	72.255958	349384	84.336	42.68217	35.217456	349384	45.583	124.875	6.401005
58	7286	21.053126	43.062502	0.687997	6.161708	70.965333	349384	108.004	42.636418	35.072467	349384	61.334	119.792	6.419546
59	1018	20.716042	42.446711	0.607914	6.08375	69.854417	349384	77.291	42.078957	34.58587	349384	47.794	128.252	6.389251
60	108	20.948751	42.476668	0.624039	6.139834	70.189292	349384	88.333	42.086962	34.61608	349384	51.707	111.914	6.469753
61	236829	21.075792	41.957377	0.621873	6.395375	70.050417	349384	139.082	41.506042	34.348833	349384	55.168	118.122	6.150835
62	5213	21.080623	43.20171	0.617125	6.375167	71.274625	349384	85.832	42.78929	35.540541	349384	56.209	119.25	6.235165
63	7131	21.012664	44.592457	0.618421	6.183083	72.406625	349384	78.334	44.189667	36.556586	349384	73.746	135.915	6.580082
64	10847	21.30658	42.036088	0.629332	6.367125	70.339125	349384	86.292	41.636583	34.484498	349384	56.96	115.71	6.105371
65	53121	21.006545	42.177168	0.631412	6.324542	70.139667	349384	77.042	41.813039	34.979708	349384	56.459	111.251	5.852578
