position	token	attention_ms	ffn_provider_ms	reentry_ms	other_ms	total_ms	request_bytes	encode_us	roundtrip_ms	remote_ffn_ms	response_bytes	decode_us	worker_encode_us	transport_remainder_ms
27	11	9.248752	15.864415	0.073916	1.58475	26.771833	115696	21.333	15.713543	11.06375	115696	21.627	59.372	3.895168
28	2670	9.548288	16.505294	0.08321	1.556416	27.693208	115696	21.874	16.349042	11.414997	115696	18.833	60.417	4.160458
29	1246	10.010455	16.888125	0.089962	1.48025	28.468792	115696	23.587	16.713751	11.684	115696	19.085	68.669	4.163169
30	39020	10.402668	17.873668	0.099664	1.51675	29.89275	115696	26.291	17.656124	12.076999	115696	19.375	68.499	4.665339
31	83161	10.400164	18.048629	0.102832	1.592666	30.144291	115696	23.421	17.857999	12.157412	115696	20.498	73.962	4.729999
32	448	10.494455	18.015713	0.099707	1.55675	30.166625	115696	22.833	17.842835	12.248668	115696	20.125	69.707	4.736004
33	279	10.335877	17.363538	0.091251	1.644625	29.435291	115696	22.662	17.194788	11.886415	115696	18.957	70.418	4.452619
34	16566	10.309709	17.354459	0.090165	1.53175	29.286083	115696	22.627	17.181	11.789581	115696	19.374	71.832	4.488791
35	13	10.440498	17.355707	0.092587	1.549083	29.437875	115696	22.794	17.18046	11.795876	115696	18.414	66.581	4.538295
36	22406	10.420375	17.157123	0.09271	1.504417	29.174625	115696	23.624	16.987788	11.740496	115696	18.419	67.583	4.405037
37	11	10.337792	17.458871	0.092253	1.532209	29.421125	115696	23.125	17.288459	11.98829	115696	19.209	65.54	4.431253
38	10339	10.689582	17.869628	0.093832	1.520708	30.17375	115696	23.875	17.690751	12.194498	115696	19.92	69.624	4.615874
39	3170	10.442622	18.2525	0.090919	1.576626	30.362667	115696	23.499	18.073415	12.258585	115696	23.001	80.669	4.892708
40	279	10.548082	17.923546	0.091122	1.608375	30.171125	115696	23.083	17.744748	11.89175	115696	19.089	73.587	4.960248
41	12884	10.582796	17.33025	0.092954	1.5135	29.5195	115696	23.375	17.157708	11.762711	115696	19.294	69.458	4.543455
42	374	10.778499	17.807664	0.092462	1.4955	30.174125	115696	23.749	17.636831	12.094916	115696	18.585	77.043	4.633791
43	6303	10.758748	17.420914	0.088213	1.628833	29.896708	115696	22.707	17.252583	12.216331	115696	19.545	62.961	4.207169
44	11	10.406375	16.85842	0.088496	1.50075	28.854041	115696	23.625	16.697375	11.506834	115696	19.461	66.917	4.357457
45	2670	10.291125	16.310294	0.077664	1.49775	28.176833	115696	22.039	16.152873	11.126791	115696	19.751	51.625	4.320121
46	1246	10.482628	16.444915	0.080999	2.098833	29.107375	115696	22.584	16.289333	11.453832	115696	18.499	58.748	4.053128
47	39020	10.237547	16.051832	0.078788	1.504541	27.872708	115696	21.335	15.901084	11.310418	115696	18.208	56.084	3.831754
48	83161	10.26554	15.969251	0.074917	1.509875	27.819583	115696	21.539	15.820292	11.253503	115696	20.584	56.542	3.78825
49	448	10.112915	15.656625	0.075001	1.487334	27.331875	115696	21.538	15.512539	11.113375	115696	17.999	51.71	3.627703
50	279	10.317379	15.710163	0.078	1.513417	27.618959	115696	21.5	15.569125	11.128333	115696	16.877	57.791	3.673164
51	16566	11.010623	17.479626	0.097126	1.513375	30.10075	115696	23.626	17.300249	12.025458	115696	23.458	72.123	4.429124
52	13	11.246457	17.616832	0.090128	1.580917	30.534334	115696	22.753	17.446378	11.954749	115696	19.668	70.497	4.612129
53	22406	11.129	17.712915	0.091752	1.497249	30.430916	115696	24.331	17.540249	11.978167	115696	20.793	72.37	4.711919
54	11	11.46054	17.773122	0.093672	1.529125	30.856459	115696	23.625	17.600371	11.986042	115696	19.795	70.209	4.67229
55	10339	11.352667	17.8445	0.095375	1.496875	30.789417	115696	23.955	17.657667	12.265166	115696	23.165	70.206	4.528249
56	3170	11.118916	17.456959	0.089833	1.687167	30.352875	115696	23.124	17.277797	11.800166	115696	19.919	64.292	4.623754
57	279	11.204913	17.820043	0.09521	1.551459	30.671625	115696	23.961	17.649958	11.83125	115696	19.001	75.082	4.918665
58	12884	11.483667	18.520749	0.094168	1.493749	31.592333	115696	23.666	18.346374	12.246666	115696	18.664	67.333	5.267374
59	374	11.344212	17.918915	0.096998	1.53	30.890125	115696	23.918	17.745377	12.019001	115696	19.456	91.751	4.874004
60	6303	11.435543	17.597792	0.090332	1.492917	30.616584	115696	23.374	17.434831	11.760831	115696	17.208	65.919	4.801873
61	11	11.512377	17.662708	0.093165	1.521375	30.789625	115696	23.999	17.501747	11.982918	115696	18.334	67.044	4.649621
62	2670	11.376958	17.682045	0.093705	1.534625	30.687333	115696	23.543	17.496585	11.948249	115696	19.459	66.961	4.70525
63	1246	11.415334	17.51696	0.092331	1.562417	30.587042	115696	23.541	17.339709	11.79937	115696	20.416	66.247	4.650505
64	39020	11.605794	17.729456	0.098125	1.534667	30.968042	115696	24.498	17.532002	11.94179	115696	21.416	71.96	4.672626
65	83161	11.159713	17.007753	0.085201	2.702041	30.954708	115696	23.334	16.8525	11.524919	115696	18.333	59.872	4.524039
