label	attention_ns	ffn_ns	reentry_ns	other_ns	total_ns	positions	tokens_per_second	median_total_ns	request_bytes	response_bytes	encode_ns	decode_ns	roundtrip_ns	transport_remainder_ns	telemetry_bytes	websocket_overhead_bytes	stream_setup_bytes	worker_decode_ns	worker_queue_ns	worker_execute_ns	worker_ffn_ns	worker_encode_ns	worker_handler_ns
warm-0-local	19989132.564102564	33970865.179487176	582942.4871794871	6362202.897435897	60905143.12820513	39	16.418974632322975	60958333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
warm-0-binary	20074698.897435896	42038733.384615384	651910.641025641	6168756.487179487	68934099.41025642	39	14.506608609602205	68852917	349384	349384	83009.8717948718	55626.153846153844	41622295.87179487	6042712.769230769				153273.02564102566	363629.46153846156	34544893.48717949	34544893.48717949	121510.82051282052	35579583.102564104
warm-0-stream	20015094	39596179.51282051	626643.1025641026	6152079.102564103	66389995.71794872	39	15.062510385576772	66303750	349384	349384	84655.20512820513	43672.666666666664	39187608.94871795	3709219.7435897435	4575.307692307692	544		83036.97435897436	266680.1282051282	34639975.384615384	34639975.384615384	86122.97435897436	35478389.20512821
warm-1-local	20015850.025641024	34236699.15384615	584754.3076923077	6448432.666666667	61285736.15384615	39	16.317010494737154	61191125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
warm-1-binary	19996907.153846152	41849276.76923077	655206.0256410256	6191626	68693015.94871795	39	14.55752067643295	68527458	349384	349384	85071.20512820513	54402	41445223.64102564	6098428.41025641				156248.92307692306	369579.9743589744	34296159.92307692	34296159.92307692	122080.20512820513	35346795.23076923
warm-1-stream	19936658.46153846	39286300.307692304	637870.2307692308	6136151.717948718	65996980.71794872	39	15.152208315009133	65866375	349384	349384	84961.69230769231	43983.97435897436	38851125.461538464	3706215.641025641	4573.051282051282	544		83527.35897435897	269772.58974358975	34295352.56410257	34295352.56410257	86343.10256410256	35144909.820512824
block-0-local-before	20098813.769230768	34040819.179487176	582702.4871794871	6419593.051282051	61141928.48717949	39	16.35538859736301	61014500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
block-0-binary-before	20114827.666666668	42005372.897435896	653734.2564102564	6180325.871794872	68954260.6923077	39	14.502367075796327	68843250	349384	349384	85691.33333333333	54235.794871794875	41567559.538461536	6049129.076923077				160907.71794871794	360969	34471080.64102564	34471080.64102564	122845.61538461539	35518430.461538464
block-0-stream	21496531.897435896	41334697.43589743	642342.1794871795	6782734.076923077	70256305.58974358	39	14.233597847279714	69215667	349384	349384	86149.71794871795	49957.02564102564	40847366.71794872	3663529.8205128205	4596.410256410257	544		81249.17948717948	298239.3846153846	36273827.102564104	36273827.102564104	87448.43589743589	37183836.897435896
block-0-binary-after	19956017.435897436	41917562.05128205	636288.0256410256	6282026.717948718	68791894.23076923	39	14.536596370575301	68656750	349384	349384	79303.15384615384	53141.4358974359	41527614.79487179	6001273.846153846				155033.79487179487	357534.3333333333	34498600.64102564	34498600.64102564	118022.8717948718	35526340.94871795
block-0-local-after	20169073.205128204	35032821.76923077	572234.2564102564	7069897.461538462	62844026.692307696	39	15.912411292422851	62636667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
block-1-local-before	20334239.512820512	35014240.48717949	594530.7435897436	7025737.153846154	62968747.897435896	39	15.880893830520652	62713667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
block-1-binary-before	19955749.974358976	41630616.307692304	645507.641025641	6352355.717948718	68584229.64102565	39	14.580611391774253	68602000	349384	349384	85516.76923076923	52407.230769230766	41231385.64102564	5930503.333333333				147514.97435897434	363989.5128205128	34270795.025641024	34270795.025641024	119454.46153846153	35300882.307692304
block-1-stream	20293215.051282052	40137744.12820513	651251.4102564103	7117855.666666667	68200066.25641026	39	14.66274235336257	68226792	349384	349384	87773.69230769231	44990.666666666664	39714449.58974359	3714091.512820513	4584.282051282052	544		77444.43589743589	275097.71794871794	35138723.28205128	35138723.28205128	87298.76923076923	36000358.07692308
block-1-binary-after	20018415.666666668	42152335.256410256	654565.3333333334	6628148.512820513	69453464.76923077	39	14.398129788379102	69516125	349384	349384	84983.30769230769	55938.794871794875	41736208.05128205	6153877.769230769				157046.84615384616	376281.6153846154	34521538.179487176	34521538.179487176	124223.35897435897	35582330.28205128
block-1-local-after	20176142.307692308	34912007.743589744	596484.4358974359	7180778.974358974	62865413.461538464	39	15.906997901346939	62990334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
