label	attention_ns	ffn_ns	reentry_ns	other_ns	total_ns	positions	tokens_per_second	median_total_ns	request_bytes	response_bytes	encode_ns	decode_ns	roundtrip_ns	transport_remainder_ns	telemetry_bytes	websocket_overhead_bytes	stream_setup_bytes	worker_decode_ns	worker_queue_ns	worker_execute_ns	worker_ffn_ns	worker_encode_ns	worker_handler_ns
warm-0-local	20101846.051282052	34091901.102564104	581589.3333333334	6299964.897435897	61075301.384615384	39	16.3732307058561	60884333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
warm-0-binary	19936655.46153846	41651874.12820513	657246	6156745.769230769	68402521.35897435	39	14.619344143062072	68358583	349384	349384	87112.43589743589	55994.743589743586	41243060.87179487	5954660.282051282				150585.4358974359	373324.53846153844	34242482.615384616	34242482.615384616	121355.66666666667	35288400.58974359
warm-0-stream	19903635.35897436	39117950.025641024	635470.1538461539	6135777.794871795	65792833.333333336	39	15.19922382630327	65849209	349384	349384	87869.35897435897	43432.820512820515	38652047.58974359	3733998.846153846	4567.74358974359	544		83406.23076923077	262317.0256410256	34079134.307692304	34079134.307692304	85926.05128205128	34918048.743589744
warm-1-local	20921423.743589744	36029162.15384615	582861.7692307692	6466798.025641026	64000245.692307696	39	15.624940016756714	61475000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
warm-1-binary	19939298.051282052	41975720.07692308	653396.4102564103	6135979.743589744	68704394.28205128	39	14.555109763353894	68416583	349384	349384	85342.38461538461	56351.41025641026	41553528.692307696	6114589.615384615				153208.5128205128	381157.23076923075	34383369.897435896	34383369.897435896	121887.1282051282	35438939.07692308
warm-1-stream	20340706.53846154	39384026.58974359	620658.8717948718	6400180.666666667	66745572.666666664	39	14.982267138437617	66895208	349384	349384	89668.48717948717	44749.820512820515	38969259.58974359	3652432.1025641025	4575.128205128205	544		79858	271662.46153846156	34464262.666666664	34464262.666666664	87161.2564102564	35316827.48717949
block-0-local-before	20209584.769230768	34822072.58974359	585634.2307692308	7063512.897435897	62680804.48717949	39	15.953847564361375	62500959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
block-0-binary-before	20093846.717948716	42327977.974358976	664295.0769230769	6642956.051282051	69729075.82051282	39	14.341219759947274	69334917	349384	349384	85628.79487179487	56043.89743589744	41905573.820512824	6091867.307692308				157181.97435897434	366288.1794871795	34751415.58974359	34751415.58974359	126186.1282051282	35813706.51282051
block-0-stream	20063136.794871796	39918587.820512824	646222.9487179487	7095996.974358974	67723944.53846154	39	14.765826279242841	67746167	349384	349384	87876.94871794872	45025.794871794875	39457117.307692304	3745867.3076923075	4576.871794871795	544		84292.1282051282	270335.641025641	34857043.333333336	34857043.333333336	89134.10256410256	35711250
block-0-binary-after	20091222.384615384	42681288.743589744	663389.4871794871	7007682.769230769	70443583.38461539	39	14.195757114457017	70298250	349384	349384	85936.33333333333	54540	42261007.64102564	6199272.333333333				161996.1794871795	370928.2051282051	34995582.333333336	34995582.333333336	124536.33333333333	36061735.307692304
block-0-local-after	20420642.82051282	35477164.333333336	601014.3846153846	7323704.051282051	63822525.58974359	39	15.668449199708606	63421500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
