label	attention_ns	ffn_ns	reentry_ns	other_ns	total_ns	positions	tokens_per_second	median_total_ns	request_bytes	response_bytes	encode_ns	decode_ns	roundtrip_ns	transport_remainder_ns	telemetry_bytes	websocket_overhead_bytes	stream_setup_bytes	worker_decode_ns	worker_queue_ns	worker_execute_ns	worker_ffn_ns	worker_encode_ns	worker_handler_ns
warm-0-local	10200338.205128206	11193467.487179488	73706.05128205128	1567392.076923077	23034903.82051282	39	43.4123800903171	22950666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
warm-0-binary	10250808.641025642	16014977.487179488	82350.71794871795	1535889.8974358975	27884026.743589744	39	35.86282602565248	27867250	115696	115696	22539.4358974359	19105.79487179487	15854757.256410256	3858468.2564102565				86605.23076923077	256296.33333333334	11221160.487179488	11221160.487179488	63265.89743589744	11996289
warm-0-stream	10289507.41025641	14373123.846153846	80793.92307692308	1595220.1538461538	26338645.333333332	39	37.96702477839407	26376666	115696	115696	21703.30769230769	18104.923076923078	14182202.41025641	2369243.1025641025	3706.8205128205127	448		32713.79487179487	181620.4358974359	11225664.384615384	11225664.384615384	30821.923076923078	11812959.307692308
warm-1-local	10159098.128205128	11254145	73415.97435897436	1621699.8461538462	23108358.948717948	39	43.27438405380491	23044625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
warm-1-binary	10214875.82051282	16119068.461538462	84094.28205128205	1556231.7692307692	27974270.333333332	39	35.747134351827185	27958750	115696	115696	22101.666666666668	19391.79487179487	15961288.82051282	3935339.205128205				87106.38461538461	258491.46153846153	11237992.615384616	11237992.615384616	58501.97435897436	12025949.615384616
warm-1-stream	10491677.512820512	14693980.051282052	83044.28205128205	1545498.1025641025	26814199.948717948	39	37.29367282680431	26602542	115696	115696	22698.48717948718	19172.102564102563	14498915.692307692	2393250.846153846	3706.5897435897436	448		33913.61538461538	185194.10256410256	11513547.692307692	11513547.692307692	30362.71794871795	12105664.846153846
block-0-local-before	10137603.564102564	11263543.82051282	74490.48717948717	1577051.2051282052	23052689.076923076	39	43.37888723797742	22999416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
block-0-binary-before	10191230.641025642	16002908.538461538	83157.89743589744	1582201.8205128205	27859498.897435896	39	35.89440009963844	27839792	115696	115696	22218.23076923077	18694.589743589742	15844355.717948718	3858167.4102564105				87182.94871794872	258007.4871794872	11208431.794871794	11208431.794871794	57671.846153846156	11986188.307692308
block-0-stream	10215718.692307692	14354300.17948718	80457.56410256411	1621385.717948718	26271862.153846152	39	38.0635371084117	26182166	115696	115696	21373.05128205128	17694.76923076923	14157055.564102564	2372774.230769231	3705.102564102564	448		31978.615384615383	182806.46153846153	11191546.282051282	11191546.282051282	29806.97435897436	11784281.333333334
block-0-binary-after	10311406.128205128	16176594.743589744	83675.43589743589	1547090.7948717948	28118767.102564104	39	35.56343691572493	27929500	115696	115696	22562.615384615383	19460.71794871795	16014355.025641026	3914531.2564102565				88919.84615384616	261520.46153846153	11313265.641025642	11313265.641025642	59096.179487179485	12099823.76923077
block-0-local-after	10050777.41025641	11193500.846153846	71788.10256410256	1561338.6153846155	22877404.974358976	39	43.71125139065385	22908459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
block-1-local-before	10052573.512820512	11099372.897435898	72897.56410256411	1606066.282051282	22830910.256410256	39	43.8002685293386	22806875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
block-1-binary-before	10185089.692307692	16043350.41025641	83389.05128205128	1535891.9743589743	27847721.128205128	39	35.90958108910268	27708667	115696	115696	22394.53846153846	19306.615384615383	15882324.025641026	3919883.8205128205				89631.35897435897	256947.87179487178	11180389.76923077	11180389.76923077	59385.64102564102	11962440.205128206
block-1-stream	10062303.384615384	14220018.974358974	75910.64102564103	1560505.1794871795	25918738.17948718	39	38.58212514340023	25880542	115696	115696	21298.5641025641	16690.4358974359	14040676.282051282	2407959.5384615385	3707	448		30765.871794871793	175194.5641025641	11064809.435897436	11064809.435897436	31773.05128205128	11632716.743589744
block-1-binary-after	10179244.948717948	16002917.384615384	82140.05128205128	1549030.923076923	27813333.307692308	39	35.9539789401449	27781750	115696	115696	21706.23076923077	18909.25641025641	15840890.692307692	3868379.3846153845				85445.61538461539	257153.35897435897	11206370.564102564	11206370.564102564	57171	11972511.307692308
block-1-local-after	10473317.974358974	11632580.205128206	73633.94871794872	1549619.564102564	23729151.692307692	39	42.142256620331324	23728959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
